decanoic acid_concentration (mM),decanoate_concentration (mM),decylamine_concentration (mM),decyl trimethylamine_concentration (mM),decylsulfate_concentration (mM),decanol_concentration (mM),monocaprin_concentration (mM)
0.985800867110116,0.3760083286093659,0.6590343487481334,0.25076638455902095,0.6759234890276904,0.41305876712562184,0.5662172448775699
0.01876088449723255,0.6186391805147098,1.5733355805815712,0.7928869287267926,0.6108375951415221,0.8012912890661349,0.16979818213936593
1.3448550579750258,1.7144251486419606,0.11719239046317327,0.10368031500285231,0.38860644718996523,0.5912341410927713,0.18651515800353524
0.23873442666188552,0.3143615860460854,1.8321552654394466,0.3263520156917894,0.8654229285822381,0.37376794832411947,0.2184057938538119
0.011229459473401527,1.1573720704227763,0.9793712115749043,0.11780507992759416,1.2520343906522318,0.6367372849299423,0.5425053930640585
0.7886424003649276,0.4896318181000533,1.631379495616988,0.03528763333981496,0.31166906184984006,0.09491652276542666,0.43948240906103503
0.2886158429874185,1.6227337423655872,0.5666908437465449,0.7436432847600463,0.24925101845268718,0.5394992753737353,0.31416706742992184
1.8524709763899514,0.11769798896200231,1.5356178399697287,1.195501452337097,0.14161876975145962,0.5588034552452551,0.26288800372520016
0.20711397428974032,2.0685749498634025,1.3686630844570926,0.5179431495783706,0.44969740592736135,0.49917617128248776,0.4177759106035428
0.07487095990938016,0.05392765255940281,0.719807091309739,1.0513773770023986,0.49585140735910666,0.0205961694111088,0.3740751205477727
0.7126283817972462,0.27789770444575446,0.6230374773819011,1.8602218246129625,0.054074532111438936,0.6477370222865281,0.07297125484161138
0.460141879905009,1.5313296087459465,1.1301580529249642,0.17059220411392198,0.05710763448316935,0.30213288156524065,0.15634788654910806
0.34442153141353615,0.36609918738282465,1.0480666929670104,0.8464232710957221,0.9001829162319295,0.522006025243115,0.14778458339357936
2.0100163653272856,0.7638280882296181,0.6828462595496262,0.3923454697271931,0.22787057144643957,0.20451302865014803,0.20673769610315945
0.13603447311067732,0.42457290775365214,0.11572650526634225,0.5315198521023068,0.034930995589770586,0.6973794760968596,0.008923564070262515
0.14582913198922265,0.8218610997405389,0.43489867696950796,0.31535628861209264,1.6036437419025542,0.6073758006966586,0.3638811415238576
0.6336025712724159,0.07977037101698976,1.2800396365538254,1.4957161601126796,0.6411034523846237,0.6278817711290787,0.2440583844478488
0.3795615290318751,0.904172214715775,1.4756328603825204,1.834818716696427,0.5315294482652422,0.43412659054953867,0.5051032140709225
0.8091667654901934,0.018495149082540168,0.07605400051988517,2.012132675553934,0.16215891967483326,0.3344139059542571,0.1433839968629899
1.0736362997898217,0.1916201208689308,1.671467965777444,1.6464399953070665,0.3420730624691662,0.2560053574201786,0.040126477171333004
0.51079576339244,1.1785434135199115,0.15519075765395957,1.4271222507708226,0.3201475222499964,0.3582026385056832,0.39511263304995353
0.6063888238656164,1.3787838749799428,0.45578251004228076,0.3610073154219601,0.9075874820865701,0.053320563572180804,0.11240219397869557
1.5134214019151409,0.8401497745656059,1.3765513262427038,0.9239842899112718,0.22311814172954625,0.7405364021001394,0.057853953770189565
1.4487509815034216,1.8937169719250302,0.03393453696895548,0.6559400461877035,0.13575284675252283,0.06243532245306563,0.5453545295369392
0.4161807517664412,0.15962791006601354,0.200850789977867,0.6038385293829245,1.3672655564710652,0.1646555979345728,0.34593762699736363
1.4754998881846473,0.20608348098273652,0.5415335215163272,0.05042224032643489,1.5591184557005997,0.12623440802106292,0.18321224645998635
1.222510272777414,1.075797295994557,0.750395459305607,1.6700947772534003,0.11502593157991726,0.10934281588956879,0.4668256293374486
0.2542544520614307,0.14947503101161422,0.2976645996003712,0.15004031835341497,1.8943283218036264,0.4456171302410522,0.09382137120052926
0.1758907900191647,1.0053612003906256,0.0002700585532828254,1.346216804836255,0.55931645426447,0.24802226926576815,0.08545167290304512
1.7297138097444178,0.062070873275554765,0.835062969204396,0.20868582527144355,1.2033689177011313,0.10181559273324575,0.007101870138728488
2.0137779968512883,0.5416984687720783,1.1963251832791373,0.6412385262620771,0.4183641628373199,0.22068182377637063,0.09775877518193864
1.6123051328917664,0.662509362391984,0.34138757740777737,1.529289046358718,1.0509465391076467,0.6743829762369912,0.513588528847783
1.923096733028126,1.287898614933968,0.20238542241930674,0.24355843631197185,2.176246917574151,0.26592904451192556,0.4126661725102376
1.1983131115566001,0.44818363297051195,0.16130758345703933,1.2722644761762043,1.4224879814573304,0.017718881989104446,0.2466179825085758
2.0998997588151753,0.9543968152595443,2.040833873271171,0.059226851565658364,1.0377517843845243,0.3498547569127557,0.32684168709361394
1.0872089144607298,0.26415208193668954,1.0407814410250922,0.4566265048301642,2.0216288103131403,0.779028247500232,0.3070512601131073
0.6459054974890145,1.7856982394998842,1.9287656102950705,1.0876994876308286,1.3795186432271236,0.7088440970789108,0.45052090592446786
0.6979007457417233,2.163337115102588,0.24687213151456255,0.8310811290365957,1.7518240303925101,0.8242067581379894,0.28254858918187664
1.288200380002382,0.7149260619155133,2.160839120724397,0.9488284278455964,1.085135033223778,0.06965026308370331,0.06107025011869964
1.7564114388522791,1.4450500850139956,1.7625938438750162,0.4316997282074624,0.7596551615049895,0.004971558356133223,0.34846094343325684
0.10665920754080131,1.8108838131069722,2.0859524998525156,1.7073791798581976,1.7973055596030076,0.14102361739516053,0.12861257996516823
0.5520355697788033,0.5992566957601514,0.3795263100574262,1.1479406172340765,1.9474155724085558,0.4873131896156625,0.03042132386230167
0.3104462267477455,0.7833331888470642,0.8289044371725931,2.1978216544744567,1.6846393323732864,0.29735717173058035,0.46985845351848465
0.9089683899178659,1.2437816807099222,1.9732745762401938,0.7047699111720132,1.5025570831080346,0.4688370775818688,0.0187595116291197
1.2659203423883654,1.3585953111705313,1.1226592419085104,2.0972177049847707,0.7280396672494512,0.14047700685300513,0.2799374216653414
1.0162208315478487,1.9220628165367621,0.9063883754803498,1.291272029591007,1.0008699659857074,0.1907821475793507,0.4004286074124516
0.8628588791273076,1.5555632518227314,0.4880147679637588,1.0050171571552453,2.117863350823122,0.21106667398514717,0.4910129217682829
2.2091432979223273,2.0420027575002004,0.40411289283359947,2.0080725477574406,1.1970222730873958,0.39430432793232434,0.23235277078011943
